id;name
1;ROLE_RIGHT_USER_CREATE
2;ROLE_RIGHT_USER_READ
3;ROLE_RIGHT_USER_UPDATE
4;ROLE_RIGHT_USER_DELETE
5;ROLE_RIGHT_USER_LIST
6;ROLE_RIGHT_AUTHORITY_LIST
